Algorithm,Array Type,Array Size,Time (seconds)
Heap_sort,increasing,2048,0.0170984268188477
Heap_sort,decreasing,2048,0.0148627758026123
Heap_sort,constant,2048,0.00204133987426758
Heap_sort,a_shaped,2048,0.0153286457061768
Heap_sort,random,4096,0.0331127643585205
Heap_sort,increasing,4096,0.0346708297729492
Heap_sort,decreasing,4096,0.0312654972076416
Heap_sort,constant,4096,0.00390911102294922
Heap_sort,a_shaped,4096,0.0325536727905273
Heap_sort,random,8192,0.0722146034240723
Heap_sort,increasing,8192,0.0769152641296387
Heap_sort,decreasing,8192,0.0715398788452148
Heap_sort,constant,8192,0.00777244567871094
Heap_sort,a_shaped,8192,0.0738792419433594
Heap_sort,random,16384,0.159338712692261
Heap_sort,increasing,16384,0.165196180343628
Heap_sort,decreasing,16384,0.176318168640137
Heap_sort,constant,16384,0.0209503173828125
Heap_sort,a_shaped,16384,0.213210582733154
Heap_sort,random,32768,0.351735591888428
Heap_sort,increasing,32768,0.398683547973633
Heap_sort,decreasing,32768,0.460681200027466
Heap_sort,constant,32768,0.0432965755462647
Heap_sort,a_shaped,32768,0.348641395568848
Heap_sort,random,65536,0.82123064994812
Heap_sort,increasing,65536,0.763997554779053
Heap_sort,decreasing,65536,0.753906726837158
Heap_sort,constant,65536,0.0626521110534668
Heap_sort,a_shaped,65536,0.747006893157959
Quick_sort_left_pivot,random,4,1.64508819580078E-05
Quick_sort_left_pivot,increasing,4,5.00679016113281E-06
Quick_sort_left_pivot,decreasing,4,5.00679016113281E-06
Quick_sort_left_pivot,constant,4,4.76837158203125E-06
Quick_sort_left_pivot,a_shaped,4,4.29153442382813E-06
Quick_sort_left_pivot,random,8,1.09672546386719E-05
Quick_sort_left_pivot,increasing,8,7.62939453125E-06
Quick_sort_left_pivot,decreasing,8,9.29832458496094E-06
Quick_sort_left_pivot,constant,8,1.04904174804688E-05
Quick_sort_left_pivot,a_shaped,8,9.29832458496094E-06
Quick_sort_left_pivot,random,16,2.24113464355469E-05
Quick_sort_left_pivot,increasing,16,2.02655792236328E-05
Quick_sort_left_pivot,decreasing,16,2.38418579101563E-05
Quick_sort_left_pivot,constant,16,2.38418579101563E-05
Quick_sort_left_pivot,a_shaped,16,2.33650207519531E-05
Quick_sort_left_pivot,random,32,4.98294830322266E-05
Quick_sort_left_pivot,increasing,32,6.55651092529297E-05
Quick_sort_left_pivot,decreasing,32,7.08103179931641E-05
Quick_sort_left_pivot,constant,32,5.45978546142578E-05
Quick_sort_left_pivot,a_shaped,32,5.88893890380859E-05
Quick_sort_left_pivot,random,64,0.000108003616333008
Quick_sort_left_pivot,increasing,64,0.000230312347412109
Quick_sort_left_pivot,decreasing,64,0.000244617462158203
Quick_sort_left_pivot,constant,64,0.000122547149658203
Quick_sort_left_pivot,a_shaped,64,0.0001373291015625
Quick_sort_left_pivot,random,128,0.000248432159423828
Quick_sort_left_pivot,increasing,128,0.000928878784179688
Quick_sort_left_pivot,decreasing,128,0.000950098037719727
Quick_sort_left_pivot,constant,128,0.000275850296020508
Quick_sort_left_pivot,a_shaped,128,0.000328779220581055
Quick_sort_left_pivot,random,256,0.000543117523193359
Quick_sort_left_pivot,increasing,256,0.00341463088989258
Quick_sort_left_pivot,decreasing,256,0.00383377075195313
Quick_sort_left_pivot,constant,256,0.000739097595214844
Quick_sort_left_pivot,a_shaped,256,0.000964879989624023
Quick_sort_left_pivot,random,512,0.00165200233459473
Quick_sort_left_pivot,increasing,512,0.018761157989502
Quick_sort_left_pivot,decreasing,512,0.0162193775177002
Quick_sort_left_pivot,constant,512,0.0014793872833252
Quick_sort_left_pivot,a_shaped,512,0.00204133987426758
Quick_sort_left_pivot,random,1024,0.00302982330322266
Quick_sort_left_pivot,increasing,1024,0.0586450099945068
Quick_sort_left_pivot,decreasing,1024,0.0582578182220459
Quick_sort_left_pivot,constant,1024,0.00323987007141113
Quick_sort_left_pivot,a_shaped,1024,0.00460624694824219
Quick_sort_left_pivot,random,2048,0.00617814064025879
Quick_sort_left_pivot,increasing,2048,0.231927871704102
Quick_sort_left_pivot,decreasing,2048,0.235074043273926
Quick_sort_left_pivot,constant,2048,0.00709414482116699
Quick_sort_left_pivot,a_shaped,2048,0.0114433765411377
Quick_sort_left_pivot,random,4096,0.0145423412322998
Quick_sort_left_pivot,increasing,4096,0.956379652023315
Quick_sort_left_pivot,decreasing,4096,1.07895398139954
Quick_sort_left_pivot,constant,4096,0.0145227909088135
Quick_sort_left_pivot,a_shaped,4096,0.0289032459259033
Quick_sort_left_pivot,random,8192,0.0313289165496826
Quick_sort_left_pivot,increasing,8192,3.85475993156433
Quick_sort_left_pivot,decreasing,8192,3.95403409004211
Quick_sort_left_pivot,constant,8192,0.0295405387878418
Quick_sort_left_pivot,a_shaped,8192,0.0558383464813232
Quick_sort_left_pivot,random,16384,0.0627515316009522
Quick_sort_left_pivot,increasing,16384,15.7823252677917
Quick_sort_left_pivot,decreasing,16384,16.2005913257599
Quick_sort_left_pivot,constant,16384,0.0660305023193359
Quick_sort_left_pivot,a_shaped,16384,0.124156951904297
Quick_sort_left_pivot,random,32768,0.130894660949707
Quick_sort_left_pivot,increasing,32768,61.1468439102173
Quick_sort_left_pivot,decreasing,32768,62.6651239395142
Quick_sort_left_pivot,constant,32768,0.14102029800415
Quick_sort_left_pivot,a_shaped,32768,0.36047101020813
Quick_sort_left_pivot,random,65536,0.287138223648071
Quick_sort_left_pivot,increasing,65536,243.489654302597
Quick_sort_left_pivot,decreasing,65536,252.817300319672
Quick_sort_left_pivot,constant,65536,0.291620016098022
Quick_sort_left_pivot,a_shaped,65536,0.668918132781982
